type,name
AnimationClip,AimMarkerADS
AnimationClip,AimMarkerInProgress
AnimationClip,AimMarkerLock
AnimationClip,AimMarkerLoop
AnimationClip,Armature_Pose_Aim
AnimationClip,Armature_Pose_RaiseGun
AnimationClip,Armature_Riding
AnimationClip,Armature_Zombie_Hand
AnimationClip,Armature|Aim
AnimationClip,Armature|Bow.Idle
AnimationClip,Armature|Bow.Ready
AnimationClip,Armature|Bow.Shoot
AnimationClip,Armature|Carry
AnimationClip,Armature|DodgeRoll_Forward
AnimationClip,Armature|Grab
AnimationClip,Armature|Idle
AnimationClip,Armature|MeleeAttack_RightSlash
AnimationClip,Armature|Move_Left
AnimationClip,Armature|Move_Right
AnimationClip,Armature|Release
AnimationClip,Armature|Tension
AnimationClip,Armature|Walk_Backward
AnimationClip,Armature|Walk_Forward
AnimationClip,Armature|Walk_Left
AnimationClip,Armature|Walk_Right
AnimationClip,Attack
AnimationClip,BUNKERLaugh
AnimationClip,Basket_Net|Goal
AnimationClip,Basket_Net|Idle
AnimationClip,Bounce
AnimationClip,BowArmature|Idle
AnimationClip,BowArmature|Stretched
AnimationClip,BubbleDestroy
AnimationClip,BubbleDuck_Idle
AnimationClip,BubbleDuck_Look
AnimationClip,BubbleDuck_RotateL
AnimationClip,BubbleDuck_RotateR
AnimationClip,BuildInteract
AnimationClip,BunkerClosed
AnimationClip,BunkerClosing
AnimationClip,BunkerOpened
AnimationClip,BunkerOpening
AnimationClip,Clicked
AnimationClip,CrossBow|Release
AnimationClip,CrossBow|Tension
AnimationClip,Death
AnimationClip,Duck_Armature|Duck_Attack
AnimationClip,Duck_Armature|Duck_Attack_L2R
AnimationClip,Duck_Armature|Idle
AnimationClip,Duck_Armature|Idle.RightHandOut
AnimationClip,Duck_Armature|Roll
AnimationClip,Duck_Armature|TPose
AnimationClip,Duck_Armature|Walk.Backward
AnimationClip,Duck_Armature|Walk.Backward.RightHandOut
AnimationClip,Duck_Armature|Walk.Forward
AnimationClip,Duck_Armature|Walk.Forward.RightHandOut
AnimationClip,Duck_Armature|Walk.Left
AnimationClip,Duck_Armature|Walk.Left.RightHandOut
AnimationClip,Duck_Armature|Walk.Right
AnimationClip,Duck_Armature|Walk.Right.RightHandOut
AnimationClip,Eat
AnimationClip,Eyes_Annoyed
AnimationClip,Eyes_Blink
AnimationClip,Eyes_Cry
